students_to_staff_ratio_the,research_quality_the,employer_reputation_qs,teaching_the,international_research_network_qs,ns,faculty_student_qs,citations_per_faculty_qs,national_or_regional_rank,international_students_qs,pub_arwu,sustainability_qs,employment_outcomes_qs,industry_impact_the,size_qs,research_environment_the,international_students_the,pcp_arwu,hici_arwu,award_arwu,female_to_male_ratio_the,international_faculty_qs,academic_reputation_qs,alumni_arwu,international_outlook_the,student_population_the,rank_arwu,rank_qs,rank_the
20.700000000000000000,56.800000000000000000,5.100000000000000000,33.400000000000000000,44.2,6.2,5.700000000000000000,15.800000000000000000,128,10.3,19.100000000000000000,3.1,3.900000000000000000,62.500000000000000000,2,24.800000000000000000,0.08,16.800000000000000000,0E-18,16.000000000000000000,0.51,10.8,7.000000000000000000,0E-18,40.600000000000000000,18497.000000000000000000,550,1100.0,737.000000000000000000
28.400000000000000000,55.800000000000000000,23.700000000000000000,15.100000000000000000,75.7,4.3,94.700000000000000000,97.700000000000000000,4,5.1,24.000000000000000000,11.9,31.900000000000000000,42.300000000000000000,2,14.700000000000000000,0.03,10.700000000000000000,6.500000000000000000,0E-18,0.51,11.6,50.000000000000000000,0E-18,38.400000000000000000,26405.000000000000000000,850,137.0,1230.000000000000000000
12.800000000000000000,84.300000000000000000,27.600000000000000000,44.200000000000000000,96.1,24.4,30.800000000000000000,63.800000000000000000,2,11.9,55.700000000000000000,76.4,69.500000000000000000,99.700000000000000000,2,59.400000000000000000,0.15,28.200000000000000000,15.900000000000000000,20.300000000000000000,0.56,89.8,54.700000000000000000,10.400000000000000000,79.400000000000000000,25966.000000000000000000,80,143.0,111.000000000000000000
22.100000000000000000,63.600000000000000000,24.800000000000000000,36.600000000000000000,59.1,20.7,52.000000000000000000,20.100000000000000000,3,4.3,34.900000000000000000,15.0,35.300000000000000000,68.300000000000000000,2,35.800000000000000000,0.13,39.600000000000000000,13.000000000000000000,34.900000000000000000,0.4,74.2,23.900000000000000000,22.000000000000000000,71.800000000000000000,15267.000000000000000000,85,392.0,430.000000000000000000
13.800000000000000000,69.500000000000000000,1.800000000000000000,25.000000000000000000,53.3,5.5,15.800000000000000000,26.800000000000000000,83,4.2,38.300000000000000000,2.9,4.400000000000000000,62.600000000000000000,3,16.600000000000000000,0.02,14.100000000000000000,11.300000000000000000,0E-18,0.7,0,5.000000000000000000,0E-18,28.100000000000000000,33441.000000000000000000,450,1100.0,828.000000000000000000
27.000000000000000000,82.200000000000000000,7.200000000000000000,24.200000000000000000,87.5,10.0,3.200000000000000000,33.300000000000000000,6,5.3,45.400000000000000000,83.6,51.700000000000000000,73.700000000000000000,3,31.700000000000000000,0.06,20.400000000000000000,15.900000000000000000,0E-18,0.62,4.1,41.500000000000000000,12.700000000000000000,44.100000000000000000,61291.000000000000000000,250,364.0,462.000000000000000000
10.400000000000000000,22.200000000000000000,36.600000000000000000,24.700000000000000000,40.3,3.8,27.000000000000000000,2.200000000000000000,1,3.9,19.200000000000000000,1.6,45.500000000000000000,25.500000000000000000,2,14.200000000000000000,0.06,9.500000000000000000,0E-18,0E-18,0.58,1.5,18.900000000000000000,15.600000000000000000,31.700000000000000000,26028.000000000000000000,950,685.0,1726.000000000000000000
6.600000000000000000,31.500000000000000000,2.300000000000000000,30.200000000000000000,49.2,4.0,81.000000000000000000,6.300000000000000000,24,4.7,23.000000000000000000,2.1,3.000000000000000000,53.700000000000000000,1,15.200000000000000000,0.04,11.900000000000000000,0E-18,0E-18,0.38,5.8,6.900000000000000000,10.400000000000000000,39.900000000000000000,8713.000000000000000000,850,825.0,1351.000000000000000000
12.400000000000000000,78.900000000000000000,95.400000000000000000,20.400000000000000000,91.8,4.6,54.700000000000000000,99.500000000000000000,147,15.9,33.600000000000000000,30.7,55.500000000000000000,59.400000000000000000,3,20.200000000000000000,0.04,11.900000000000000000,0E-18,0E-18,0.5,95,75.300000000000000000,0E-18,34.700000000000000000,30951.000000000000000000,750,44.0,700.000000000000000000
13.300000000000000000,39.400000000000000000,35.500000000000000000,34.000000000000000000,64.1,2.5,16.700000000000000000,88.200000000000000000,103,3.1,37.500000000000000000,19.7,20.700000000000000000,85.600000000000000000,3,30.300000000000000000,0.07,13.000000000000000000,6.500000000000000000,0E-18,0.52,8.2,16.600000000000000000,0E-18,30.200000000000000000,43643.000000000000000000,550,360.0,629.000000000000000000
